# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2247
#@/user_id	bigzhu_mac
jin wan 	今晚	c=1 d=0.0174224 t=2247
jin xing 	進行	c=1 d=0.955997 t=2247
jin zhi 	禁止	c=1 d=0.900325 t=2247
jing chang 	經常	c=1 d=0.594521 t=2247
jing shui qi 	淨水器	c=1 d=0.0149956 t=2247
jiong 	囧	c=1 d=1 t=1971
jiu 	就	c=9 d=1.08621 t=2247
jiu de 	舊的	c=1 d=0.421052 t=2247
jiu hui 	就會	c=1 d=1 t=2105
jiu shi 	就是	c=11 d=1.05195 t=2247
jiu yuan 	久遠	c=1 d=0.771052 t=2247
jiu zai 	就在	c=1 d=0.178173 t=2247
jiu zai 	救災	c=1 d=0.177284 t=2247
ju hui 	聚會	c=1 d=0.25284 t=2247
ju ti 	具體	c=2 d=0.101597 t=2247
ju zhang 	局長	c=1 d=0.0198411 t=2247
ju zi 	句子	c=1 d=0.0297478 t=2247
jue ding 	決定	c=1 d=0.301194 t=2247
jue dui 	絕對	c=1 d=0.329559 t=2247
kai 	開	c=1 d=0.0378169 t=2247
kai hui 	開會	c=2 d=0.0697089 t=2247
kai le 	開了	c=0 d=0.00695994 t=2247
kai ping 	開屏	c=2 d=0.0825709 t=2247
kai qi 	開啓	c=1 d=0.0277367 t=2247
kai shi 	開始	c=2 d=0.565096 t=2247
kai tou 	開頭	c=0 d=0.0035437 t=2247
kai wan 	開完	c=1 d=0.0350844 t=2247
kan 	看	c=1 d=0.194952 t=2247
kan dao 	看到	c=1 d=0.0190631 t=2247
kan kai tou 	看開頭	c=1 d=0.0356146 t=2247
kan kan 	看看	c=2 d=0.236052 t=2247
kan lai 	看來	c=1 d=0.786628 t=2247
kan le 	看了	c=1 d=0.109154 t=2247
ke hu 	客戶	c=1 d=0.0389686 t=2247
ke hu duan 	客戶端	c=1 d=0.286505 t=2247
ke lian 	可憐	c=1 d=1 t=2205
ke neng 	可能	c=2 d=0.856415 t=2247
ke pa 	可怕	c=0 d=0.1 t=1908
ke pa de shi 	可怕的是	c=1 d=1 t=1909
ke shi 	可是	c=1 d=0.0753961 t=2247
ke shi hua 	可視化	c=1 d=0.67368 t=2247
ke sou 	咳嗽	c=1 d=0.585669 t=2247
ke yi 	可以	c=9 d=0.462279 t=2247
ke yi bao zheng 	可以保證	c=1 d=0.0274607 t=2247
ke yong 	可用	c=1 d=0.102797 t=2247
ken ding 	肯定	c=1 d=0.348192 t=2247
kong chu 	空處	c=1 d=1 t=2145
kong ge 	空格	c=2 d=0.268832 t=2247
kong jian 	空間	c=3 d=0.970932 t=2247
ku 	庫	c=1 d=0.308819 t=2247
kuai 	塊	c=1 d=0.0124062 t=2247
kuai su 	快速	c=6 d=0.418044 t=2247
kun ming 	昆明	c=2 d=1.24011 t=2247
la ji 	垃圾	c=1 d=0.0450492 t=2247
la jin lai 	拉進來	c=1 d=0.0391639 t=2247
lai 	來	c=10 d=1.43829 t=2247
lai jia 	來加	c=1 d=0.179964 t=2247
lai nong 	來弄	c=1 d=0.276651 t=2247
lai shuo 	來說	c=1 d=1 t=2156
lai xuan zen 	來選怎	c=1 d=0.062662 t=2247
lan 	懶	c=1 d=0.965605 t=2247
lang 	浪	c=1 d=0.591555 t=2247
lang fei 	浪費	c=1 d=0.111917 t=2247
lao 	老	c=2 d=0.71666 t=2247
lao ban ben 	老版本	c=1 d=0.304221 t=2247
lao de 	老的	c=2 d=0.735904 t=2247
lao jia 	老家	c=1 d=0.458406 t=2247
le 	了	c=53 d=5.09854 t=2247
le me 	了麼	c=1 d=0.327915 t=2247
lei xing 	類型	c=1 d=0.895834 t=2247
li 	李	c=1 d=0.400517 t=2247
li 	裏	c=2 d=0.351081 t=2247
